model,Geo-mean_RMSE
tcn,0.01903682453600869
lstm,0.019446443389591495
gru,0.019908787394466727
tft,0.02046778394995092
bilstm,0.02091732388161298
cnnlstm,0.02385110544681178
informer,0.059714311208666555
sgp4_monotonic,0.07542931781716312
